True Label,User Choice,Reaction Time (s)
duck,duck,0.573
llama,llama,0.517
llama,llama,0.556
duck,duck,0.732
llama,llama,0.485
llama,llama,0.449
duck,duck,0.499
duck,duck,0.534
duck,duck,0.542
llama,llama,0.486
llama,llama,0.484
llama,llama,0.569
llama,llama,0.455
llama,llama,0.511
llama,llama,0.468
duck,duck,0.456
duck,duck,0.599
duck,duck,0.417
llama,llama,0.505
llama,llama,0.483
duck,duck,0.467
llama,llama,0.483
duck,duck,0.487
llama,llama,0.5
duck,duck,0.486
llama,llama,0.554
duck,duck,0.455
duck,duck,0.402
llama,llama,0.579
duck,llama,0.453
llama,llama,0.505
duck,duck,0.484
duck,duck,0.598
duck,duck,0.437
duck,duck,0.501
duck,duck,0.45
llama,llama,0.508
llama,llama,0.598
duck,llama,0.633
llama,llama,0.602
llama,llama,0.517
duck,duck,0.498
llama,llama,0.548
llama,llama,0.58
llama,llama,0.741
duck,duck,0.58
duck,duck,0.699
llama,llama,0.57
duck,duck,0.67
duck,duck,0.497
llama,llama,0.617
llama,llama,0.532
llama,llama,0.684
llama,llama,0.472
llama,llama,0.582
duck,duck,0.516
