True Label,User Choice,Reaction Time (s)
llama,llama,0.105
llama,llama,0.016
llama,llama,0.018
llama,llama,0.016
llama,llama,0.018
llama,llama,0.019
llama,llama,0.016
llama,llama,0.021
llama,llama,0.016
llama,llama,0.017
llama,llama,0.017
llama,duck,0.016
llama,llama,0.017
llama,duck,0.02
llama,llama,0.02
llama,llama,0.017
llama,llama,0.016
llama,llama,0.017
llama,llama,0.02
llama,duck,0.017
llama,llama,0.019
llama,llama,0.02
llama,llama,0.019
llama,llama,0.016
llama,llama,0.017
llama,llama,0.02
llama,llama,0.02
llama,llama,0.019
llama,llama,0.017
llama,llama,0.019
llama,duck,0.02
llama,llama,0.019
llama,llama,0.019
llama,llama,0.022
llama,llama,0.019
llama,llama,0.018
llama,llama,0.016
llama,llama,0.019
llama,llama,0.02
llama,llama,0.021
llama,duck,0.021
llama,llama,0.018
llama,llama,0.017
llama,llama,0.02
llama,llama,0.017
llama,llama,0.019
llama,llama,0.018
llama,duck,0.021
llama,llama,0.017
llama,llama,0.019
llama,llama,0.016
llama,llama,0.017
llama,llama,0.017
llama,llama,0.02
llama,llama,0.018
llama,llama,0.018
llama,llama,0.021
llama,llama,0.019
llama,llama,0.02
llama,llama,0.02
llama,llama,0.017
llama,llama,0.019
llama,llama,0.016
llama,llama,0.017
llama,llama,0.017
llama,duck,0.017
llama,llama,0.016
llama,duck,0.017
llama,llama,0.017
llama,duck,0.017
llama,llama,0.019
llama,llama,0.021
llama,llama,0.019
llama,llama,0.018
llama,duck,0.02
llama,llama,0.02
llama,llama,0.016
llama,llama,0.017
llama,llama,0.016
llama,llama,0.018
llama,llama,0.018
llama,llama,0.021
llama,llama,0.017
llama,duck,0.019
llama,llama,0.019
llama,llama,0.021
llama,llama,0.02
llama,duck,0.016
llama,llama,0.017
llama,llama,0.017
llama,llama,0.02
llama,llama,0.017
llama,llama,0.018
llama,llama,0.019
llama,llama,0.017
llama,llama,0.019
llama,llama,0.016
llama,llama,0.017
llama,llama,0.019
llama,llama,0.019
llama,llama,0.02
llama,llama,0.017
llama,duck,0.02
llama,llama,0.02
llama,llama,0.017
llama,llama,0.017
llama,llama,0.017
llama,llama,0.02
llama,llama,0.017
llama,llama,0.017
llama,llama,0.021
llama,llama,0.019
llama,llama,0.02
llama,llama,0.021
llama,llama,0.021
llama,llama,0.015
llama,duck,0.016
llama,llama,0.017
llama,llama,0.018
llama,llama,0.02
llama,llama,0.017
llama,llama,0.02
llama,llama,0.018
llama,llama,0.017
llama,llama,0.019
llama,llama,0.018
llama,llama,0.02
llama,llama,0.025
llama,llama,0.019
llama,llama,0.017
llama,duck,0.017
llama,llama,0.017
llama,llama,0.017
llama,llama,0.017
llama,llama,0.017
llama,llama,0.018
llama,llama,0.018
llama,llama,0.019
llama,llama,0.017
llama,llama,0.017
llama,duck,0.022
llama,llama,0.018
llama,llama,0.019
llama,llama,0.021
