True Label,User Choice,Reaction Time (s)
llama,llama,0.223
llama,llama,0.003
llama,llama,0.003
llama,llama,0.002
llama,llama,0.003
llama,llama,0.003
llama,llama,0.003
llama,llama,0.003
llama,llama,0.004
llama,llama,0.003
llama,llama,0.004
llama,llama,0.004
llama,llama,0.003
llama,llama,0.004
llama,llama,0.003
llama,llama,0.004
llama,llama,0.003
llama,llama,0.004
llama,llama,0.003
llama,llama,0.004
llama,duck,0.003
llama,llama,0.003
llama,llama,0.003
llama,llama,0.003
llama,duck,0.003
llama,llama,0.003
llama,llama,0.004
llama,llama,0.004
llama,llama,0.003
llama,llama,0.007
llama,llama,0.004
llama,llama,0.003
llama,llama,0.003
llama,llama,0.003
llama,llama,0.003
llama,llama,0.002
llama,llama,0.003
llama,llama,0.003
llama,llama,0.002
llama,llama,0.004
llama,llama,0.004
llama,llama,0.003
llama,llama,0.004
llama,duck,0.004
llama,llama,0.003
llama,llama,0.004
llama,llama,0.004
llama,duck,0.004
llama,duck,0.003
llama,llama,0.004
llama,llama,0.004
llama,llama,0.003
llama,llama,0.005
llama,llama,0.003
llama,llama,0.003
llama,llama,0.003
llama,llama,0.003
llama,llama,0.004
llama,llama,0.004
llama,duck,0.003
llama,llama,0.004
llama,llama,0.004
llama,llama,0.004
llama,llama,0.003
llama,llama,0.004
llama,llama,0.003
llama,llama,0.004
llama,llama,0.004
llama,llama,0.003
llama,llama,0.004
llama,llama,0.003
llama,llama,0.004
llama,duck,0.004
llama,llama,0.003
llama,llama,0.003
llama,llama,0.003
llama,llama,0.003
llama,llama,0.002
llama,llama,0.003
llama,llama,0.002
llama,llama,0.003
llama,llama,0.003
llama,llama,0.003
llama,llama,0.002
llama,duck,0.003
llama,llama,0.003
llama,llama,0.003
llama,llama,0.003
llama,llama,0.002
llama,llama,0.003
llama,llama,0.003
llama,duck,0.003
llama,llama,0.003
llama,llama,0.003
llama,llama,0.003
llama,llama,0.003
llama,llama,0.003
llama,llama,0.003
llama,llama,0.003
llama,llama,0.002
llama,llama,0.003
llama,llama,0.004
llama,llama,0.004
llama,llama,0.003
llama,llama,0.004
llama,llama,0.005
llama,llama,0.004
llama,llama,0.003
llama,llama,0.004
llama,llama,0.004
llama,llama,0.003
llama,llama,0.003
llama,llama,0.003
llama,llama,0.002
llama,llama,0.003
llama,llama,0.004
llama,llama,0.004
llama,llama,0.003
llama,llama,0.004
llama,llama,0.003
llama,llama,0.003
llama,llama,0.003
llama,llama,0.003
llama,llama,0.002
llama,llama,0.004
llama,llama,0.003
llama,duck,0.003
llama,duck,0.003
llama,llama,0.004
llama,duck,0.003
llama,llama,0.004
llama,llama,0.005
llama,llama,0.003
llama,llama,0.004
llama,llama,0.004
llama,llama,0.004
llama,llama,0.004
llama,llama,0.003
llama,llama,0.004
llama,llama,0.003
llama,llama,0.003
llama,llama,0.004
llama,llama,0.003
llama,llama,0.003
llama,llama,0.003
llama,llama,0.003
llama,llama,0.002
llama,llama,0.005
llama,llama,0.004
llama,duck,0.003
llama,duck,0.004
llama,llama,0.003
llama,llama,0.002
llama,llama,0.003
llama,llama,0.003
llama,llama,0.003
llama,llama,0.003
llama,llama,0.003
llama,llama,0.002
llama,llama,0.003
llama,llama,0.003
llama,llama,0.002
llama,duck,0.003
llama,llama,0.004
llama,duck,0.003
llama,duck,0.004
llama,llama,0.004
llama,llama,0.003
llama,duck,0.004
llama,llama,0.003
llama,llama,0.004
llama,llama,0.004
llama,llama,0.005
llama,llama,0.004
llama,llama,0.004
llama,llama,0.003
llama,duck,0.002
llama,llama,0.003
llama,duck,0.003
llama,llama,0.004
llama,llama,0.004
llama,llama,0.004
llama,llama,0.003
llama,duck,0.004
llama,llama,0.005
llama,llama,0.003
llama,llama,0.004
llama,llama,0.004
llama,llama,0.003
llama,duck,0.003
llama,llama,0.003
llama,llama,0.004
llama,duck,0.004
llama,llama,0.003
llama,llama,0.004
llama,llama,0.004
llama,llama,0.003
llama,llama,0.004
llama,llama,0.004
llama,llama,0.003
llama,duck,0.003
llama,duck,0.004
llama,llama,0.004
llama,llama,0.003
llama,llama,0.004
llama,llama,0.004
llama,llama,0.003
llama,llama,0.003
llama,llama,0.003
llama,llama,0.003
llama,duck,0.003
llama,duck,0.002
llama,llama,0.003
llama,llama,0.003
llama,llama,0.003
llama,llama,0.002
llama,llama,0.003
llama,duck,0.003
llama,llama,0.003
llama,llama,0.003
llama,duck,0.002
llama,llama,0.003
llama,llama,0.003
llama,llama,0.002
llama,llama,0.003
llama,llama,0.003
llama,duck,0.004
llama,llama,0.004
llama,llama,0.004
llama,llama,0.003
llama,llama,0.004
llama,duck,0.002
llama,llama,0.003
llama,llama,0.003
llama,llama,0.002
llama,llama,0.004
llama,llama,0.003
llama,duck,0.004
llama,llama,0.003
llama,duck,0.004
llama,llama,0.004
llama,llama,0.004
llama,llama,0.003
llama,llama,0.004
llama,llama,0.004
llama,llama,0.004
llama,llama,0.003
llama,llama,0.003
llama,llama,0.003
llama,llama,0.002
llama,llama,0.003
llama,duck,0.003
llama,llama,0.002
llama,llama,0.003
llama,llama,0.003
llama,llama,0.003
llama,llama,0.002
llama,llama,0.003
llama,llama,0.002
llama,llama,0.003
llama,llama,0.004
llama,llama,0.004
llama,duck,0.004
llama,llama,0.003
llama,llama,0.003
llama,llama,0.004
llama,llama,0.004
llama,llama,0.003
llama,llama,0.003
llama,llama,0.004
llama,llama,0.004
llama,duck,0.003
llama,llama,0.004
llama,llama,0.003
llama,duck,0.003
llama,llama,0.002
llama,llama,0.002
llama,llama,0.003
llama,llama,0.003
llama,llama,0.003
llama,duck,0.003
llama,llama,0.002
llama,llama,0.003
llama,duck,0.003
llama,llama,0.003
llama,llama,0.003
llama,duck,0.003
llama,duck,0.002
llama,llama,0.003
llama,llama,0.003
llama,llama,0.003
llama,llama,0.003
llama,llama,0.003
llama,duck,0.003
llama,llama,0.003
llama,llama,0.003
llama,llama,0.002
llama,llama,0.003
llama,llama,0.003
llama,llama,0.003
llama,duck,0.002
llama,llama,0.003
llama,llama,0.003
llama,llama,0.002
llama,duck,0.003
llama,llama,0.003
llama,duck,0.003
llama,llama,0.002
llama,llama,0.003
llama,llama,0.003
llama,llama,0.002
llama,llama,0.003
llama,llama,0.003
llama,duck,0.002
llama,llama,0.003
llama,llama,0.003
llama,llama,0.002
llama,llama,0.003
llama,duck,0.004
llama,llama,0.003
llama,llama,0.003
llama,llama,0.002
llama,llama,0.003
llama,llama,0.004
llama,llama,0.003
llama,duck,0.004
llama,llama,0.003
llama,llama,0.003
llama,llama,0.004
llama,llama,0.003
llama,llama,0.003
llama,llama,0.002
llama,duck,0.003
llama,llama,0.003
llama,llama,0.003
llama,llama,0.003
llama,llama,0.003
llama,llama,0.003
llama,duck,0.002
llama,llama,0.004
llama,llama,0.003
llama,llama,0.003
llama,llama,0.003
llama,duck,0.002
llama,llama,0.004
llama,llama,0.003
llama,llama,0.003
llama,llama,0.003
llama,duck,0.003
llama,duck,0.003
llama,llama,0.003
llama,llama,0.003
llama,llama,0.002
llama,duck,0.003
llama,duck,0.003
llama,llama,0.002
llama,llama,0.003
llama,llama,0.003
llama,llama,0.003
llama,llama,0.002
llama,llama,0.003
llama,llama,0.002
llama,duck,0.003
llama,llama,0.003
llama,duck,0.002
llama,llama,0.003
llama,duck,0.004
llama,llama,0.003
llama,duck,0.003
llama,llama,0.003
llama,llama,0.003
llama,llama,0.003
llama,llama,0.004
llama,llama,0.003
llama,llama,0.002
llama,llama,0.003
llama,duck,0.003
llama,llama,0.002
llama,llama,0.003
llama,llama,0.002
llama,llama,0.003
llama,llama,0.003
llama,duck,0.003
llama,llama,0.002
llama,llama,0.003
llama,llama,0.002
llama,llama,0.003
llama,llama,0.003
llama,llama,0.003
llama,llama,0.002
llama,llama,0.003
llama,duck,0.002
llama,llama,0.003
llama,llama,0.003
llama,llama,0.003
llama,llama,0.003
llama,llama,0.004
llama,llama,0.003
llama,llama,0.004
llama,llama,0.004
llama,llama,0.003
llama,llama,0.003
llama,llama,0.003
llama,duck,0.003
llama,duck,0.003
llama,llama,0.002
llama,duck,0.003
llama,llama,0.003
llama,llama,0.002
llama,llama,0.004
llama,llama,0.004
llama,llama,0.003
llama,llama,0.004
llama,llama,0.004
llama,llama,0.003
llama,llama,0.004
llama,llama,0.003
llama,llama,0.003
llama,llama,0.004
llama,llama,0.004
llama,llama,0.003
duck,duck,0.004
duck,duck,0.003
duck,duck,0.003
duck,llama,0.002
duck,llama,0.003
duck,duck,0.002
duck,duck,0.003
duck,duck,0.004
duck,duck,0.003
duck,duck,0.004
duck,llama,0.003
duck,llama,0.003
duck,duck,0.003
duck,duck,0.003
duck,duck,0.002
duck,duck,0.003
duck,duck,0.002
duck,duck,0.003
duck,duck,0.003
duck,duck,0.002
duck,duck,0.003
duck,duck,0.003
duck,llama,0.002
duck,duck,0.004
duck,duck,0.003
duck,duck,0.004
duck,duck,0.003
duck,llama,0.004
duck,duck,0.004
duck,llama,0.004
duck,duck,0.003
duck,duck,0.003
duck,duck,0.003
duck,duck,0.003
duck,llama,0.002
duck,duck,0.003
duck,duck,0.002
duck,llama,0.003
duck,duck,0.004
duck,duck,0.005
