True Label,User Choice,Reaction Time (s)
llama,llama,0.055
llama,llama,0.028
llama,llama,0.037
llama,llama,0.035
llama,llama,0.031
llama,llama,0.032
llama,llama,0.027
llama,llama,0.032
llama,llama,0.033
llama,llama,0.029
llama,duck,0.031
llama,llama,0.03
llama,llama,0.027
llama,llama,0.033
llama,llama,0.033
llama,llama,0.025
llama,llama,0.033
llama,llama,0.032
llama,llama,0.028
llama,llama,0.035
llama,llama,0.034
llama,llama,0.031
llama,duck,0.031
llama,llama,0.027
llama,llama,0.035
llama,duck,0.03
llama,llama,0.032
llama,llama,0.035
llama,llama,0.033
llama,llama,0.033
llama,llama,0.03
llama,llama,0.03
llama,llama,0.029
llama,llama,0.032
llama,llama,0.034
llama,duck,0.034
llama,llama,0.028
llama,llama,0.027
llama,llama,0.03
llama,llama,0.028
llama,duck,0.032
llama,duck,0.026
llama,duck,0.03
llama,llama,0.03
llama,llama,0.032
llama,llama,0.027
llama,llama,0.027
llama,llama,0.03
llama,llama,0.032
llama,llama,0.032
llama,duck,0.026
llama,llama,0.029
llama,llama,0.03
llama,llama,0.029
llama,llama,0.03
llama,llama,0.031
llama,llama,0.026
llama,duck,0.032
llama,llama,0.029
llama,llama,0.027
llama,llama,0.03
llama,duck,0.029
llama,llama,0.032
llama,llama,0.027
llama,llama,0.032
llama,llama,0.031
llama,duck,0.027
llama,llama,0.027
llama,llama,0.031
llama,duck,0.026
llama,llama,0.034
llama,llama,0.026
llama,duck,0.029
llama,llama,0.03
llama,llama,0.031
llama,llama,0.032
llama,llama,0.033
llama,llama,0.038
llama,llama,0.025
llama,llama,0.028
llama,duck,0.027
llama,llama,0.035
llama,llama,0.03
llama,llama,0.026
llama,llama,0.027
llama,llama,0.033
llama,duck,0.031
llama,duck,0.032
llama,duck,0.031
llama,llama,0.026
llama,duck,0.026
llama,llama,0.027
llama,duck,0.027
llama,llama,0.03
llama,llama,0.027
llama,llama,0.028
llama,llama,0.034
llama,llama,0.032
llama,llama,0.032
llama,llama,0.031
llama,duck,0.032
llama,llama,0.025
llama,llama,0.029
llama,llama,0.028
llama,llama,0.026
llama,llama,0.028
llama,llama,0.028
llama,llama,0.027
llama,llama,0.027
llama,llama,0.027
llama,llama,0.027
llama,duck,0.03
llama,duck,0.03
llama,duck,0.027
llama,llama,0.032
llama,llama,0.027
llama,duck,0.028
llama,llama,0.032
llama,llama,0.026
llama,llama,0.026
llama,llama,0.029
llama,llama,0.029
llama,llama,0.032
llama,llama,0.029
llama,llama,0.029
llama,duck,0.031
llama,llama,0.027
llama,llama,0.027
llama,llama,0.033
llama,llama,0.034
llama,duck,0.033
llama,llama,0.033
llama,llama,0.033
llama,llama,0.033
llama,llama,0.032
llama,llama,0.028
llama,llama,0.032
llama,llama,0.028
llama,llama,0.027
llama,llama,0.027
llama,llama,0.028
llama,llama,0.028
llama,llama,0.033
llama,duck,0.032
llama,duck,0.029
llama,llama,0.036
llama,llama,0.036
llama,llama,0.036
llama,llama,0.034
llama,llama,0.033
llama,llama,0.03
llama,llama,0.033
llama,llama,0.034
llama,llama,0.033
llama,llama,0.033
llama,llama,0.034
llama,duck,0.033
llama,llama,0.033
llama,llama,0.031
llama,llama,0.027
llama,llama,0.027
llama,llama,0.027
llama,llama,0.027
llama,llama,0.031
llama,duck,0.029
llama,duck,0.032
llama,llama,0.03
llama,duck,0.027
llama,duck,0.029
llama,llama,0.032
llama,llama,0.028
llama,llama,0.028
llama,llama,0.035
llama,duck,0.026
llama,llama,0.028
llama,llama,0.034
llama,llama,0.033
llama,duck,0.029
llama,llama,0.034
llama,llama,0.029
llama,llama,0.031
llama,llama,0.03
llama,duck,0.032
llama,llama,0.03
llama,llama,0.032
llama,llama,0.033
llama,llama,0.028
llama,llama,0.027
llama,llama,0.034
llama,llama,0.027
llama,llama,0.029
llama,llama,0.028
llama,llama,0.033
llama,llama,0.032
llama,llama,0.031
llama,llama,0.031
llama,llama,0.033
llama,llama,0.031
llama,llama,0.032
llama,llama,0.031
llama,llama,0.033
llama,duck,0.031
llama,duck,0.033
llama,llama,0.026
llama,llama,0.027
llama,llama,0.026
llama,duck,0.028
llama,llama,0.027
llama,duck,0.029
llama,duck,0.03
llama,llama,0.026
llama,llama,0.027
llama,llama,0.028
llama,duck,0.03
llama,llama,0.029
llama,llama,0.032
llama,llama,0.031
llama,llama,0.028
llama,duck,0.027
llama,llama,0.026
llama,llama,0.03
llama,llama,0.027
llama,duck,0.027
llama,llama,0.029
llama,llama,0.036
llama,duck,0.035
llama,llama,0.033
llama,llama,0.031
llama,llama,0.028
llama,llama,0.026
llama,llama,0.033
llama,llama,0.033
llama,llama,0.031
llama,llama,0.034
llama,duck,0.032
llama,llama,0.03
llama,llama,0.034
llama,llama,0.033
llama,llama,0.029
llama,llama,0.026
llama,llama,0.03
llama,llama,0.028
llama,llama,0.034
llama,llama,0.033
llama,llama,0.033
llama,llama,0.025
llama,duck,0.027
llama,duck,0.03
llama,llama,0.027
llama,duck,0.027
llama,duck,0.028
llama,llama,0.028
llama,llama,0.027
llama,duck,0.027
llama,llama,0.035
llama,llama,0.033
llama,duck,0.032
llama,llama,0.031
llama,duck,0.029
llama,llama,0.032
llama,duck,0.033
llama,llama,0.032
llama,llama,0.027
llama,llama,0.032
llama,llama,0.027
llama,duck,0.032
llama,llama,0.031
llama,llama,0.031
llama,llama,0.032
llama,llama,0.032
llama,duck,0.033
llama,llama,0.033
llama,llama,0.033
llama,llama,0.032
llama,llama,0.033
llama,llama,0.033
llama,llama,0.032
llama,duck,0.032
llama,llama,0.031
llama,duck,0.033
llama,llama,0.033
llama,llama,0.033
llama,llama,0.033
llama,llama,0.033
llama,duck,0.028
llama,llama,0.027
llama,llama,0.026
llama,llama,0.027
llama,llama,0.027
llama,llama,0.027
llama,duck,0.028
llama,llama,0.027
llama,llama,0.028
llama,llama,0.027
llama,llama,0.027
llama,llama,0.028
llama,llama,0.027
llama,llama,0.027
llama,duck,0.028
llama,llama,0.027
llama,llama,0.031
llama,duck,0.031
llama,llama,0.027
llama,llama,0.027
llama,llama,0.027
llama,llama,0.027
llama,llama,0.027
llama,llama,0.027
llama,llama,0.027
llama,llama,0.029
llama,llama,0.027
llama,llama,0.028
llama,llama,0.027
llama,llama,0.029
llama,llama,0.032
llama,llama,0.031
llama,llama,0.032
llama,llama,0.033
llama,duck,0.032
llama,llama,0.032
llama,llama,0.032
