True Label,User Choice,Reaction Time (s)
llama,llama,0.228
llama,duck,0.004
llama,llama,0.004
llama,llama,0.004
llama,llama,0.005
llama,duck,0.004
llama,llama,0.005
llama,duck,0.004
llama,llama,0.004
llama,llama,0.005
llama,duck,0.004
llama,llama,0.004
llama,llama,0.004
llama,llama,0.005
llama,duck,0.004
llama,llama,0.004
llama,llama,0.004
llama,llama,0.005
llama,llama,0.004
llama,llama,0.004
llama,llama,0.004
llama,duck,0.005
llama,llama,0.004
llama,llama,0.005
llama,llama,0.004
llama,llama,0.004
llama,llama,0.004
llama,llama,0.005
llama,llama,0.004
llama,llama,0.005
llama,duck,0.004
llama,llama,0.004
llama,llama,0.005
llama,duck,0.004
llama,duck,0.004
llama,llama,0.004
llama,duck,0.004
llama,llama,0.004
llama,llama,0.004
llama,llama,0.004
llama,llama,0.005
llama,llama,0.004
llama,llama,0.004
llama,llama,0.004
llama,duck,0.004
llama,llama,0.004
llama,llama,0.004
llama,llama,0.004
llama,llama,0.004
llama,llama,0.004
llama,llama,0.004
llama,llama,0.005
llama,llama,0.003
llama,llama,0.004
llama,llama,0.004
llama,duck,0.004
llama,llama,0.004
llama,llama,0.004
llama,llama,0.004
llama,llama,0.004
llama,duck,0.004
llama,duck,0.004
llama,llama,0.004
llama,llama,0.005
llama,llama,0.004
llama,llama,0.003
llama,duck,0.005
llama,llama,0.004
llama,llama,0.004
llama,llama,0.004
llama,llama,0.004
llama,llama,0.004
llama,llama,0.004
llama,llama,0.004
llama,llama,0.004
llama,llama,0.005
llama,llama,0.004
llama,duck,0.004
llama,llama,0.005
llama,llama,0.004
llama,llama,0.004
llama,llama,0.005
llama,llama,0.003
llama,llama,0.004
llama,llama,0.004
llama,llama,0.005
llama,llama,0.003
llama,llama,0.004
llama,llama,0.004
llama,llama,0.004
llama,duck,0.004
llama,llama,0.004
llama,llama,0.004
llama,duck,0.005
llama,llama,0.004
llama,llama,0.004
llama,llama,0.004
llama,llama,0.004
llama,duck,0.004
llama,llama,0.004
llama,llama,0.004
llama,llama,0.004
llama,llama,0.004
llama,llama,0.004
llama,llama,0.004
llama,llama,0.004
llama,llama,0.004
llama,llama,0.004
llama,duck,0.004
llama,llama,0.004
llama,duck,0.005
llama,llama,0.004
llama,llama,0.004
llama,llama,0.004
llama,llama,0.004
llama,llama,0.004
llama,llama,0.004
llama,llama,0.004
llama,llama,0.004
llama,llama,0.004
llama,llama,0.004
llama,llama,0.004
llama,llama,0.004
llama,llama,0.004
llama,llama,0.004
