True Label,User Choice,Reaction Time (s)
llama,llama,0.099
llama,llama,0.053
llama,llama,0.061
llama,llama,0.057
llama,llama,0.061
llama,llama,0.061
llama,llama,0.062
llama,llama,0.053
llama,llama,0.055
llama,llama,0.056
llama,llama,0.058
llama,llama,0.059
llama,llama,0.056
llama,llama,0.061
llama,llama,0.071
llama,llama,0.069
llama,llama,0.056
llama,llama,0.055
llama,llama,0.071
llama,llama,0.066
llama,llama,0.066
llama,llama,0.056
llama,llama,0.058
llama,llama,0.069
llama,llama,0.059
llama,llama,0.064
llama,llama,0.062
llama,llama,0.061
llama,llama,0.058
llama,llama,0.062
llama,llama,0.062
llama,llama,0.064
llama,llama,0.058
llama,llama,0.054
llama,duck,0.06
llama,llama,0.058
llama,llama,0.053
llama,llama,0.054
llama,llama,0.054
llama,llama,0.075
llama,llama,0.06
llama,llama,0.059
llama,llama,0.059
llama,llama,0.062
llama,llama,0.058
llama,llama,0.064
llama,llama,0.06
llama,llama,0.056
llama,llama,0.065
llama,llama,0.064
llama,llama,0.048
llama,llama,0.054
llama,llama,0.05
llama,duck,0.055
llama,llama,0.055
llama,llama,0.06
llama,llama,0.067
llama,llama,0.069
llama,llama,0.064
llama,llama,0.063
llama,llama,0.058
llama,llama,0.05
llama,llama,0.049
llama,llama,0.057
llama,llama,0.067
llama,llama,0.068
llama,llama,0.067
llama,llama,0.073
llama,llama,0.062
llama,llama,0.058
llama,llama,0.071
llama,llama,0.065
llama,llama,0.061
llama,llama,0.058
llama,llama,0.063
llama,llama,0.059
llama,llama,0.055
llama,llama,0.071
llama,duck,0.099
llama,llama,0.078
llama,llama,0.069
llama,llama,0.074
llama,llama,0.075
llama,llama,0.074
llama,llama,0.068
llama,llama,0.068
llama,llama,0.056
llama,llama,0.057
llama,llama,0.059
llama,llama,0.058
llama,llama,0.053
llama,llama,0.047
llama,llama,0.061
llama,llama,0.06
llama,llama,0.059
llama,llama,0.068
llama,llama,0.058
llama,llama,0.054
llama,llama,0.062
llama,llama,0.067
llama,llama,0.075
llama,llama,0.103
llama,llama,0.073
llama,llama,0.075
llama,llama,0.049
llama,llama,0.06
llama,llama,0.069
llama,llama,0.06
llama,llama,0.06
llama,llama,0.062
llama,llama,0.064
llama,llama,0.059
llama,llama,0.054
llama,llama,0.059
llama,llama,0.074
llama,llama,0.069
llama,llama,0.065
