True Label,User Choice,Reaction Time (s)
llama,llama,0.641
llama,llama,0.024
llama,llama,0.028
llama,llama,0.028
llama,llama,0.032
llama,llama,0.025
llama,llama,0.025
llama,llama,0.023
llama,llama,0.024
llama,llama,0.03
llama,llama,0.04
llama,llama,0.026
llama,llama,0.028
llama,llama,0.04
llama,llama,0.026
llama,llama,0.029
llama,llama,0.022
llama,llama,0.031
llama,llama,0.03
llama,llama,0.026
llama,llama,0.023
llama,llama,0.024
llama,llama,0.024
llama,duck,0.025
llama,llama,0.032
llama,llama,0.028
llama,llama,0.023
llama,duck,0.023
llama,llama,0.022
llama,llama,0.024
llama,llama,0.025
llama,llama,0.028
llama,llama,0.024
llama,llama,0.026
llama,llama,0.023
llama,llama,0.028
llama,llama,0.024
llama,llama,0.028
llama,llama,0.023
llama,llama,0.023
llama,duck,0.024
llama,llama,0.023
llama,llama,0.023
llama,llama,0.024
llama,llama,0.023
llama,llama,0.024
llama,llama,0.023
llama,llama,0.025
llama,llama,0.026
llama,llama,0.032
llama,llama,0.028
llama,llama,0.04
llama,llama,0.023
llama,llama,0.027
llama,llama,0.024
llama,llama,0.023
llama,llama,0.023
llama,llama,0.026
llama,llama,0.03
llama,llama,0.024
llama,llama,0.032
llama,llama,0.034
llama,llama,0.025
llama,llama,0.028
llama,llama,0.031
llama,llama,0.031
llama,llama,0.031
llama,llama,0.022
llama,llama,0.023
llama,llama,0.023
llama,llama,0.025
llama,llama,0.023
llama,llama,0.024
llama,llama,0.023
llama,llama,0.023
llama,llama,0.031
llama,llama,0.029
llama,llama,0.027
llama,llama,0.022
llama,llama,0.023
llama,llama,0.023
llama,llama,0.027
llama,llama,0.023
llama,llama,0.022
llama,llama,0.023
llama,llama,0.022
llama,llama,0.023
llama,llama,0.023
llama,llama,0.039
llama,llama,0.024
llama,llama,0.023
llama,llama,0.024
llama,llama,0.026
llama,llama,0.03
llama,llama,0.023
llama,llama,0.027
llama,llama,0.024
llama,llama,0.024
llama,llama,0.026
llama,llama,0.023
llama,llama,0.024
llama,llama,0.023
llama,llama,0.023
llama,llama,0.023
llama,llama,0.024
llama,llama,0.023
llama,llama,0.023
llama,llama,0.023
llama,llama,0.023
llama,llama,0.029
llama,llama,0.023
llama,llama,0.023
llama,llama,0.022
llama,llama,0.029
llama,llama,0.031
llama,llama,0.023
llama,llama,0.024
llama,llama,0.023
llama,llama,0.022
llama,llama,0.025
llama,llama,0.022
llama,llama,0.023
llama,llama,0.023
llama,llama,0.024
llama,llama,0.024
llama,duck,0.023
llama,llama,0.024
llama,llama,0.026
llama,llama,0.038
llama,llama,0.029
llama,llama,0.027
llama,llama,0.024
llama,llama,0.044
llama,llama,0.024
llama,llama,0.023
llama,llama,0.024
llama,llama,0.024
llama,llama,0.023
llama,llama,0.023
llama,llama,0.026
llama,llama,0.029
llama,llama,0.029
llama,llama,0.037
llama,llama,0.028
llama,llama,0.024
llama,llama,0.027
llama,llama,0.023
llama,llama,0.023
llama,llama,0.025
llama,llama,0.024
llama,llama,0.027
llama,llama,0.026
llama,llama,0.023
llama,llama,0.038
llama,llama,0.023
llama,llama,0.022
llama,llama,0.032
llama,llama,0.026
llama,llama,0.025
llama,llama,0.023
llama,llama,0.025
llama,llama,0.039
llama,llama,0.038
llama,llama,0.031
llama,llama,0.025
llama,llama,0.023
llama,llama,0.026
llama,llama,0.023
llama,llama,0.025
llama,llama,0.03
llama,llama,0.025
llama,llama,0.024
llama,llama,0.023
llama,llama,0.023
llama,llama,0.024
llama,llama,0.027
llama,llama,0.024
llama,llama,0.03
llama,llama,0.043
llama,llama,0.04
llama,llama,0.028
llama,llama,0.024
llama,llama,0.026
llama,llama,0.03
llama,llama,0.03
llama,llama,0.025
llama,llama,0.026
llama,llama,0.023
llama,llama,0.023
llama,llama,0.028
llama,llama,0.023
llama,llama,0.027
llama,llama,0.025
llama,llama,0.023
llama,llama,0.042
llama,llama,0.024
llama,llama,0.025
llama,llama,0.025
llama,llama,0.038
llama,llama,0.025
llama,llama,0.023
llama,llama,0.03
llama,llama,0.024
llama,llama,0.024
llama,llama,0.023
llama,llama,0.028
llama,llama,0.023
llama,llama,0.023
llama,llama,0.024
llama,llama,0.032
llama,llama,0.043
llama,llama,0.04
llama,duck,0.025
llama,llama,0.027
llama,llama,0.024
llama,llama,0.023
llama,llama,0.023
llama,llama,0.026
llama,llama,0.031
llama,llama,0.034
llama,llama,0.025
llama,llama,0.025
llama,llama,0.025
llama,llama,0.024
llama,llama,0.039
llama,llama,0.025
llama,llama,0.033
llama,llama,0.023
llama,llama,0.026
llama,llama,0.024
llama,llama,0.023
llama,llama,0.043
llama,llama,0.025
llama,llama,0.026
llama,llama,0.024
llama,llama,0.028
llama,llama,0.028
llama,llama,0.03
llama,duck,0.031
llama,llama,0.031
llama,llama,0.03
llama,llama,0.034
llama,llama,0.025
llama,llama,0.024
llama,llama,0.028
llama,llama,0.023
llama,llama,0.024
llama,llama,0.023
llama,llama,0.029
llama,llama,0.024
llama,llama,0.023
llama,llama,0.041
llama,llama,0.024
llama,llama,0.025
llama,llama,0.024
llama,llama,0.028
llama,llama,0.024
llama,llama,0.024
llama,llama,0.025
llama,llama,0.04
llama,llama,0.038
llama,llama,0.027
llama,llama,0.023
llama,llama,0.024
llama,llama,0.027
llama,llama,0.024
llama,llama,0.025
llama,llama,0.022
llama,llama,0.034
llama,llama,0.033
llama,llama,0.026
llama,llama,0.026
llama,llama,0.024
llama,llama,0.024
llama,llama,0.038
llama,llama,0.025
llama,llama,0.024
llama,llama,0.024
llama,llama,0.024
llama,llama,0.026
llama,llama,0.027
llama,llama,0.039
llama,llama,0.026
llama,llama,0.026
llama,llama,0.024
llama,llama,0.023
llama,llama,0.027
llama,llama,0.024
llama,llama,0.022
llama,llama,0.031
llama,llama,0.03
llama,llama,0.029
llama,llama,0.03
llama,llama,0.027
llama,llama,0.036
llama,llama,0.026
llama,llama,0.029
llama,llama,0.025
llama,llama,0.024
llama,llama,0.023
llama,llama,0.035
llama,llama,0.024
llama,llama,0.025
llama,llama,0.027
llama,llama,0.03
llama,llama,0.027
llama,llama,0.025
llama,llama,0.024
llama,llama,0.024
llama,llama,0.025
llama,llama,0.027
llama,llama,0.025
llama,llama,0.025
llama,llama,0.03
llama,llama,0.027
llama,llama,0.024
llama,llama,0.025
llama,llama,0.031
llama,llama,0.028
llama,llama,0.038
llama,llama,0.024
llama,llama,0.024
llama,llama,0.024
llama,llama,0.023
llama,llama,0.024
llama,llama,0.031
llama,llama,0.043
llama,llama,0.026
llama,llama,0.038
llama,llama,0.041
llama,llama,0.042
llama,llama,0.049
llama,llama,0.047
llama,llama,0.024
llama,llama,0.025
llama,llama,0.025
llama,llama,0.023
llama,llama,0.024
llama,llama,0.024
llama,llama,0.028
llama,llama,0.041
llama,llama,0.023
llama,llama,0.025
llama,llama,0.029
llama,llama,0.026
llama,llama,0.023
llama,llama,0.024
llama,llama,0.025
llama,llama,0.028
llama,llama,0.023
llama,llama,0.023
llama,llama,0.023
llama,duck,0.027
llama,llama,0.023
llama,llama,0.024
llama,llama,0.024
llama,llama,0.023
llama,llama,0.024
llama,llama,0.027
llama,llama,0.029
llama,llama,0.023
llama,llama,0.024
llama,llama,0.026
llama,llama,0.035
llama,llama,0.024
llama,llama,0.023
llama,llama,0.023
llama,llama,0.028
llama,llama,0.028
llama,llama,0.026
llama,llama,0.029
llama,llama,0.027
llama,llama,0.025
llama,llama,0.028
llama,llama,0.024
llama,llama,0.027
